BdprotoID	LanguageName	GlottologID
1061	AFROASIATIC	afro1255
1097	ALGONQUIAN	algo1256
1053	ALTAIC	NULL
1018	ANATOLIAN	anat1257
1116	ARAWAKAN	araw1281
1110	ATHAPASKAN	atha1245
1104	ATTIC	atti1238
1059	AUSTRALIAN	NULL
1041	AUSTRONESIAN	aust1307
1094	BANTU	bant1295
1038	CENTRAL GUR	cent2243
1056	CENTRAL KHOISAN	khoe1241
1034	CENTRAL PACIFIC	cent2060
1033	CENTRAL TARIKU	cent2110
1083	CHADIC	chad1250
1072	CHIAPANEC MANGUEAN	chia1262
1111	CHIBCHA	chib1249
1099	CHIMAKUAN	chim1311
1077	CHINANTECAN	chin1484
1113	CHUKOTKO-KAMCHATKAN	chuk1271
1081	COMMON BERBER	berb1260
1045	COMMON NORDIC	nort3160
1106	COPTIC	copt1239
1062	CUSHITIC	cush1243
1012	DRAVIDIAN	drav1251
1065	EARLY PROTO FINNIC	finn1317
1031	EAST TARIKU	east2502
1060	EDOID	edoi1239
1007	ESKIMO	eski1264
1112	ESKIMO-ALEUT	eski1264
1029	FAR WEST	geel1240
1090	FINNO PERMIC	perm1256
1068	FINNO-UGRIC	finn1317
1093	GBAYA	gbaya1279
1046	GERMANIC	germ1287
1095	GOROKAN	goro1272
1118	GUAHIBAN	guah1252
1103	GUANG	guan1278
1026	HUON GULF	huon1245
1015	IJO	ijoi1239
1051	INDO EUROPEAN	indo1320
1052	KARTVELIAN	kart1248
1058	KATOUIQUE	katu1271
1109	KERESAN	kere1287
1039	KIMBE	west2818
1028	LAKES PLAIN	lake1255
1066	LAPP	saam1281
1047	LATE PROTO NORSE	oldn1244
1082	LOLO BURMESE	lolo1265
1014	LOWER CROSS	obo11242
1063	LOWER SEPIK	lowe1437
1042	MAA	onga1238
1108	MAIDUN	maid1262
1004	MALAYO POLYNESIAN	mala1545
1037	MANDE	mand1469
1025	MANDEKAN	mand1433
1027	MARKHAM	mark1257
1057	MAYAN	maya1287
1107	MICRONESIAN	micr1243
1049	MIDDLE ENGLISH	midd1317
1070	MIXTECAN	mixt1422
1020	MON	moni1258
1021	NEW CALEDONIAN	newc1243
1087	NORTH SAMOYED	samo1298
1055	NOSTRATIC	NULL
1089	OB UGRIC	khan1273
1040	OCEANIC	ocea1241
1006	OLD CHINESE	oldc1244
1011	OLD TELUGU	telu1262
1043	ONGAMO MAA	onga1238
1096	OTOMANGUEAN	otom1299
1073	OTOMI	otom1300
1074	OTOMI MAZAHUA	otom1297
1075	OTOMI PAME	otop1242
1100	PAMAN	pama1250
1091	PERMIC	perm1256
1022	PHILIPPINE	grea1284
1017	PLANG	blan1242
1002	POLYNESIAN	poly1242
1071	POPOLOCAN	popo1293
1050	PRE ANGLIAN OLD ENGLISH	angl1265
1000	PRE BASQUE	basq1248
1102	PRE NIZAA	suga1248
1024	PRE NORMAN PAMA	pama1250
1035	PROTO-AINU	ainu1240
1016	PROTO-HAUSA	haus1257
1101	PROTO-JAPANESE	nucl1643
1013	PROTO-KAREN	kare1337
1003	PROTO-LAKKIA	lakk1238
1023	PROTO-MABA	maba1274
1044	PROTO-NUBIAN	nubi1251
1115	PROTO-POMO	pomo1273
1105	PROTO-VIETNAMESE	viet1252
1010	QUICHEAN	grea1276
1019	SABAKI	coas1317
1098	SALISH	sali1255
1085	SAMOYED	samo1298
1001	SANGIRIC	sang1335
1092	SARA BONGO BAGUIRMIAN	sara1341
1080	SEMITIC	semi1276
1086	SOUTH SAMOYED	samo1298
1054	SUMERIAN	sume1241
1067	TAI	taik1256
1064	TAKANAN	taca1255
1009	TANO CONGO	poto1254
1030	TARIKU	tari1255
1079	TOTONOCAN	toto1251
1117	TUCANOAN	tuca1253
1119	TUPI-GUARANI	tupi1275
1088	UGRIC	hung1274
1084	URALIC	ural1272
1114	URALO-SIBERIAN	ural1272
1069	UTO AZTECAN	utoa1244
1036	VOLTA	volt1241
1048	WEST SAXON	olde1238
1032	WEST TARIKU	west2582
1005	WESTERN MALAYO POLYNESIAN	mala1536
1008	YOKUTS	yoku1255
1076	ZAPOTECAN	zapo1436
1078	ZOQUEAN	mixe1284
1	PROTO-BERBER	berb1260
2	PROTO-KARTVELIAN	kart1248
3	PROTO-BALTO-SLAVIC	balt1263
4	PROTO-SLAVIC	slav1255
5	PROTO-CELTIC	celt1248
6	PROTO-TAI	daic1237
7	PROTO-TURKIC	turk1305
8	PROTO-MONGOLIC	mong1329
9	PROTO-KRA	kra1291
10	PROTO-HLAI	nucl1241
11	PROTO-TIBETO-BURMAN	sino1245
12	PROTO-HMONG-MIEN	hmon1336
13	PROTO-MON-KHMER	aust1305
14	PROTO-IROQUOIAN	iroq1247
15	Proto-Dené–Caucasian language	NULL